Topic,Surah,Islamic_Data,Scientific_Data,cleaned_scientific_data,cleaned_islamic_data,Sentiment_Scores,Sentiment
,,,,,,0.0,Neutral
Spider's Web,Al-Ankabut,"""The parable of those who take protectors other than Allah is that of the spider, who builds (to itself) a house; but truly the flimsiest of houses is the spider’s house; if they but knew.""","The verse likens the flimsiness of the spider’s web to the fragility of relying on false protectors. It also reflects the delicate nature of a spider’s web, which is made of silk proteins.",the verse likens the flimsiness of the spiders web to the fragility of relying on false protectors it also reflects the delicate nature of a spiders web which is made of silk proteins,the parable of those who take protectors other than allah is that of the spider who builds to itself a house but truly the flimsiest of houses is the spiders house if they but knew,0.5927,Positive
The Water Cycle,Az-Zumar,"""Seest thou not that Allah sends down rain from the sky, and leads it through springs in the earth? Then He causes to grow, therewith, produce of various colors.""","The verse metaphorically describes the water cycle, where water evaporates, forms clouds, and eventually falls as rain. This process sustains plant growth and various ecosystems on Earth.",the verse metaphorically describes the water cycle where water evaporates forms clouds and eventually falls as rain this process sustains plant growth and various ecosystems on earth,seest thou not that allah sends down rain from the sky and leads it through springs in the earth then he causes to grow therewith produce of various colors,0.0,Neutral
Water,Al-Anbya,"""We made every living thing from water, will they not believe?""",It was only after the discovery of the microscope that it was concluded...,it was only after the discovery of the microscope that it was concluded,we made every living thing from water will they not believe,0.0,Neutral
Universe: The Big Crunch Theory,Al-Anbya,"""The Day when We will fold the heaven like the folding of a [written] sheet for the records. As We began the first creation, We shall repeat it. [It is] a promise binding upon Us. Indeed, We will do it.""","Indeed, the Big Crunch is one of the scenarios predicted by scientists in which the Universe may end...",indeed the big crunch is one of the scenarios predicted by scientists in which the universe may end,the day when we will fold the heaven like the folding of a written sheet for the records as we began the first creation we shall repeat it it is a promise binding upon us indeed we will do it,0.8481,Positive
Barrier between Sweet and Salt Waters,,"He has let free the two bodies of flowing water, meeting together: between them is a barrier which they do not transgress.","At the boundary where freshwater rivers meet the ocean, there is a visible separation due to differences in density and␣salinity. This barrier prevents easy mixing of the two types of water.",at the boundary where freshwater rivers meet the ocean there is a visible separation due to differences in density andsalinity this barrier prevents easy mixing of the two types of water,he has let free the two bodies of flowing water meeting together between them is a barrier which they do not transgress,0.4215,Positive
Botany,Taha,"""And has sent down water from the sky. With it have We produced diverse pairs of plants each separate from the others.""","Plants reproduce through various methods, including seeds. The verse metaphorically refers to the diversity of plant life and their reproductive processes, which include male and female parts.",plants reproduce through various methods including seeds the verse metaphorically refers to the diversity of plant life and their reproductive processes which include male and female parts,and has sent down water from the sky with it have we produced diverse pairs of plants each separate from the others,0.0,Neutral
,,"""Seest thou not that Allah sends down rain from the sky, and leads it through springs in the earth? Then He causes to grow, therewith, produce of various colors.""","In 1580, Bernard Palissy was the first man to describe the present day concept of the ""water cycle."" He described how water evaporates from the oceans and forms clouds...",in 1580 bernard palissy was the first man to describe the present day concept of the water cycle he described how water evaporates from the oceans and forms clouds,seest thou not that allah sends down rain from the sky and leads it through springs in the earth then he causes to grow therewith produce of various colors,0.0,Neutral
Production of Milk in Animals,Ayah an-Nahl,"""“There is in truth for you a lesson in your animals and flocks. We give you to drink a pure milk derived from that which is contained in their bodies, from the merging of what is held in their intestines with blood. The drinking of that is then made easy for those who drink it.""","The substances that ensure the general nutrition of the body come from chemical transformations which occur along the length of the digestive tract. These substances come from the contents of the intestine. On arrivalin the intestine at the appropriate stage of chemical transformation, they pass through its wall and towards the systemic circulation (of blood). This veryprecise concept is the result of the discoveries made in the chemistry and physiology of the digestive system.",the substances that ensure the general nutrition of the body come from chemical transformations which occur along the length of the digestive tract these substances come from the contents of the intestine on arrivalin the intestine at the appropriate stage of chemical transformation they pass through its wall and towards the systemic circulation of blood this veryprecise concept is the result of the discoveries made in the chemistry and physiology of the digestive system,there is in truth for you a lesson in your animals and flocks we give you to drink a pure milk derived from that which is contained in their bodies from the merging of what is held in their intestines with blood the drinking of that is then made easy for those who drink it,0.6369,Positive
The Sky’s Protection,Al-Anbya,"""And We made the sky a protected ceiling, but they, from its signs, are turning away""","It is a scientific fact that the sky, with all of its gases, protects the earth and life that is present on it...",it is a scientific fact that the sky with all of its gases protects the earth and life that is present on it,and we made the sky a protected ceiling but they from its signs are turning away,0.2382,Positive
