Text,Label
Praying five times a day is one of the pillars of Islam.,1
Honesty is a fundamental value in Islamic teachings.,0
Giving to charity is highly recommended in Islam.,1
The Prophet Muhammad (peace be upon him) is the final prophet in Islam.,0
The Quran is the holy book of Islam.,1
Honesty is a fundamental value in Islamic teachings.,1
"The Prophet Muhammad (peace be upon him) said, 'Truthfulness leads to righteousness.'",1
Respecting parents is a key aspect of Islamic ethics.,1
Lying is a sin in Islam and should be avoided at all costs.,0
"The Prophet Muhammad (peace be upon him) said, 'Truthfulness leads to righteousness.'",0
Fasting during Ramadan is obligatory for all adult Muslims.,0
The Prophet Muhammad (peace be upon him) is the final prophet in Islam.,1
Lying is a sin in Islam and should be avoided at all costs.,1
Islam teaches tolerance and respect for people of all faiths.,1
The Quran is the holy book of Islam.,0
Islam teaches tolerance and respect for people of all faiths.,0
Respecting parents is a key aspect of Islamic ethics.,0
Fasting during Ramadan is obligatory for all adult Muslims.,1
Giving to charity is highly recommended in Islam.,0
Praying five times a day is one of the pillars of Islam.,0
